OneRep Patterns, 10
[0, 0, 19, 15, 2, 7, 0, 4, 23, 33, 6, 35, 8, 10, 12, 14, 16, 7, 33, 5, 18, 3, 0, 49, 15, 45, 13, 45, 0, 0]
[0, 0, 51, 7, 2, 4, 23, 29, 0, 0, 6, 43, 8, 3, 10, 0, 14, 9, 7, 51, 16, 33, 9, 29, 13, 0, 18, 31, 19, 17]
[25, 31, 0, 7, 2, 41, 49, 4, 21, 13, 6, 31, 0, 15, 8, 0, 0, 12, 27, 49, 15, 31, 37, 5, 39, 19, 14, 0, 0, 18]
[3, 49, 0, 2, 27, 4, 6, 0, 13, 10, 0, 45, 12, 14, 39, 11, 31, 0, 3, 16, 51, 0, 17, 33, 0, 35, 29, 45, 18, 43]
[3, 0, 39, 0, 27, 0, 45, 49, 9, 49, 33, 41, 6, 0, 29, 39, 1, 23, 10, 13, 11, 12, 41, 14, 16, 41, 15, 37, 0, 18]
[0, 2, 4, 29, 29, 0, 6, 0, 3, 8, 10, 5, 0, 25, 35, 7, 43, 23, 17, 35, 47, 33, 12, 14, 0, 3, 19, 0, 16, 18]
[15, 43, 0, 27, 2, 0, 15, 23, 23, 0, 11, 4, 9, 29, 3, 0, 7, 6, 8, 10, 0, 11, 37, 39, 0, 12, 14, 33, 16, 18]
[35, 1, 13, 37, 0, 49, 2, 5, 5, 4, 13, 0, 37, 45, 0, 0, 47, 31, 23, 8, 7, 1, 10, 12, 14, 7, 0, 0, 45, 18]
[5, 0, 0, 11, 4, 51, 0, 9, 7, 0, 41, 39, 37, 0, 43, 8, 10, 0, 31, 14, 16, 23, 18, 17, 21, 17, 25, 51, 13, 49]
[0, 5, 47, 0, 9, 25, 4, 15, 1, 6, 15, 8, 27, 10, 11, 13, 3, 15, 3, 33, 17, 12, 0, 0, 14, 0, 0, 16, 18, 15]
