OneRep Patterns, 50
[39, 37, 45, 0, 17, 27, 19, 43, 5, 49, 39, 7, 2, 31, 1, 1, 9, 0, 15, 4, 21, 5, 6, 29, 3, 21, 21, 9, 8, 15, 33, 43, 3, 31, 10, 12, 14, 23, 16, 18, 0, 11, 29, 11, 0, 17, 41, 47, 27, 1]
[45, 5, 31, 15, 27, 21, 0, 47, 2, 43, 1, 17, 19, 35, 45, 39, 0, 41, 9, 19, 29, 15, 9, 0, 15, 4, 3, 6, 1, 0, 3, 10, 35, 12, 9, 23, 31, 19, 11, 11, 33, 41, 13, 29, 14, 16, 5, 21, 27, 18]
[0, 49, 3, 2, 39, 51, 37, 4, 45, 6, 47, 41, 47, 8, 11, 10, 0, 23, 12, 35, 17, 29, 14, 19, 41, 27, 51, 16, 37, 37, 17, 15, 25, 29, 45, 39, 43, 0, 43, 7, 15, 7, 3, 1, 37, 7, 39, 41, 0, 11]
[0, 51, 33, 45, 0, 1, 29, 2, 5, 13, 23, 47, 41, 21, 49, 17, 11, 39, 11, 4, 37, 6, 43, 15, 23, 8, 5, 39, 35, 23, 27, 43, 25, 21, 10, 12, 0, 33, 14, 27, 3, 41, 45, 25, 0, 13, 16, 18, 15, 11]
[33, 0, 1, 15, 39, 13, 2, 21, 4, 39, 0, 31, 41, 7, 37, 1, 3, 51, 1, 27, 8, 23, 41, 11, 35, 0, 47, 10, 12, 35, 17, 37, 35, 11, 14, 15, 9, 41, 45, 13, 0, 18, 25, 21, 11, 43, 27, 7, 9, 49]
[33, 1, 45, 33, 49, 27, 23, 0, 47, 2, 19, 4, 9, 35, 1, 37, 1, 13, 6, 0, 8, 19, 11, 27, 31, 13, 15, 31, 41, 10, 23, 12, 0, 37, 14, 5, 35, 49, 5, 29, 9, 23, 0, 19, 16, 11, 1, 11, 18, 17]
[11, 1, 9, 49, 0, 5, 43, 21, 17, 17, 2, 47, 35, 13, 5, 4, 3, 6, 0, 49, 3, 5, 29, 39, 35, 0, 8, 27, 21, 7, 10, 23, 11, 23, 0, 43, 29, 39, 21, 14, 16, 25, 18, 23, 17, 19, 9, 13, 31, 13]
[15, 1, 27, 3, 21, 7, 33, 0, 7, 27, 11, 9, 3, 51, 1, 2, 4, 31, 31, 5, 35, 21, 33, 6, 17, 8, 0, 10, 12, 23, 33, 13, 14, 0, 47, 43, 27, 16, 43, 51, 13, 0, 7, 1, 35, 3, 31, 25, 18, 19]
[29, 47, 51, 33, 49, 41, 0, 35, 27, 49, 0, 2, 41, 0, 19, 11, 4, 0, 39, 23, 47, 41, 29, 13, 6, 49, 8, 10, 37, 12, 9, 14, 15, 7, 27, 17, 27, 51, 33, 7, 16, 45, 19, 27, 18, 51, 3, 1, 43, 25]
[0, 2, 4, 23, 15, 43, 35, 19, 6, 0, 0, 51, 47, 19, 3, 27, 45, 13, 39, 49, 0, 15, 41, 27, 29, 7, 25, 8, 51, 23, 10, 13, 23, 15, 31, 45, 37, 12, 29, 14, 13, 41, 16, 31, 39, 21, 41, 18, 21, 13]
[0, 31, 13, 0, 15, 5, 43, 7, 31, 49, 4, 35, 27, 31, 11, 15, 6, 49, 8, 17, 51, 51, 37, 45, 35, 47, 43, 19, 10, 49, 5, 35, 12, 23, 0, 0, 17, 13, 7, 35, 19, 31, 1, 23, 16, 27, 13, 27, 18, 7]
[45, 1, 27, 0, 41, 25, 31, 15, 2, 17, 23, 3, 41, 19, 9, 37, 3, 1, 37, 45, 39, 37, 9, 31, 4, 0, 19, 27, 31, 3, 29, 6, 49, 27, 23, 8, 10, 12, 21, 45, 21, 0, 0, 21, 16, 23, 18, 19, 13, 33]
