RegularPatterns, 50
[27, 0, 43, 43, 31, 29, 37, 19, 29, 2, 4, 11, 17, 15, 1, 37, 41, 17, 6, 8]
[5, 0, 33, 45, 27, 39, 2, 11, 15, 4, 33, 51, 41, 47, 6, 13, 8, 49, 33, 37]
[0, 47, 2, 25, 31, 9, 7, 37, 27, 5, 9, 25, 35, 35, 3, 13, 4, 6, 8, 43]
[0, 47, 1, 9, 17, 33, 2, 4, 35, 27, 35, 49, 21, 33, 9, 45, 6, 8, 51, 47]
[47, 0, 2, 19, 31, 4, 11, 1, 9, 13, 19, 49, 5, 5, 23, 13, 6, 8, 39, 13]
[51, 19, 49, 35, 1, 0, 2, 37, 51, 39, 4, 31, 6, 9, 13, 8, 13, 23, 21, 1]
[13, 43, 0, 17, 2, 33, 23, 31, 4, 29, 29, 39, 35, 3, 6, 8, 49, 47, 7, 51]
[7, 51, 39, 47, 0, 37, 45, 2, 51, 23, 43, 7, 31, 4, 6, 35, 11, 8, 7, 33]
[5, 7, 27, 0, 9, 21, 31, 25, 11, 25, 7, 5, 31, 19, 2, 4, 6, 8, 11, 15]
[47, 15, 0, 2, 21, 37, 29, 47, 4, 6, 3, 17, 8, 3, 27, 41, 47, 7, 49, 17]
[0, 19, 49, 43, 9, 47, 1, 29, 37, 17, 2, 39, 4, 25, 9, 15, 6, 17, 8, 21]
[0, 7, 2, 4, 6, 23, 8, 9, 7, 15, 1, 47, 43, 41, 45, 39, 17, 17, 43, 27]
[31, 47, 19, 35, 37, 11, 15, 0, 2, 4, 6, 7, 13, 23, 41, 43, 1, 9, 8, 19]
[27, 43, 15, 33, 0, 7, 37, 21, 2, 33, 47, 49, 45, 37, 4, 6, 27, 25, 8, 15]
[11, 33, 0, 45, 3, 9, 29, 3, 2, 17, 3, 39, 1, 41, 4, 41, 25, 6, 8, 9]
[7, 41, 21, 0, 15, 19, 13, 2, 43, 27, 21, 31, 4, 6, 8, 27, 25, 51, 27, 47]
[33, 0, 5, 3, 25, 43, 1, 29, 2, 37, 25, 4, 11, 39, 15, 6, 27, 8, 31, 41]
[47, 15, 23, 19, 0, 45, 27, 15, 2, 43, 19, 39, 35, 4, 19, 6, 23, 19, 8, 39]
[35, 15, 31, 0, 39, 43, 31, 51, 2, 4, 13, 51, 6, 43, 8, 29, 29, 9, 43, 51]
[45, 51, 21, 0, 27, 47, 5, 2, 4, 23, 31, 33, 6, 37, 29, 8, 21, 43, 25, 19]
[49, 31, 39, 0, 9, 3, 5, 11, 2, 15, 27, 7, 4, 6, 45, 21, 41, 3, 8, 27]
[0, 23, 2, 25, 5, 37, 51, 45, 4, 13, 19, 6, 23, 3, 51, 3, 47, 8, 31, 45]
[0, 5, 2, 35, 4, 7, 5, 39, 6, 5, 33, 33, 49, 13, 47, 8, 25, 9, 35, 17]
[33, 9, 23, 13, 0, 2, 13, 33, 23, 11, 4, 35, 31, 27, 29, 45, 6, 7, 29, 8]
[0, 27, 2, 21, 15, 11, 4, 21, 6, 21, 15, 45, 13, 8, 17, 45, 27, 27, 51, 27]
[33, 0, 2, 11, 23, 35, 13, 1, 3, 25, 21, 51, 23, 4, 6, 33, 35, 43, 13, 8]
[35, 0, 2, 13, 29, 29, 4, 17, 13, 41, 31, 6, 35, 5, 51, 51, 35, 8, 47, 33]
[0, 7, 2, 37, 31, 47, 19, 4, 23, 25, 23, 27, 1, 6, 47, 21, 25, 8, 11, 41]
[41, 5, 37, 0, 27, 11, 45, 19, 2, 39, 4, 6, 23, 45, 17, 23, 11, 11, 8, 19]
[47, 17, 23, 25, 37, 17, 3, 1, 15, 49, 29, 0, 2, 4, 49, 29, 49, 6, 8, 25]
[0, 45, 2, 41, 45, 4, 39, 33, 5, 35, 6, 8, 17, 15, 35, 41, 19, 9, 43, 39]
[0, 33, 41, 33, 3, 41, 9, 2, 33, 4, 21, 19, 41, 37, 43, 6, 8, 51, 3, 17]
[11, 0, 39, 21, 2, 23, 5, 23, 17, 4, 6, 25, 37, 25, 47, 8, 39, 33, 51, 21]
[0, 35, 7, 35, 49, 3, 17, 21, 2, 4, 27, 6, 8, 17, 37, 45, 23, 3, 19, 9]
[37, 0, 39, 11, 1, 2, 4, 41, 27, 35, 51, 39, 51, 7, 39, 6, 8, 31, 49, 19]
[39, 0, 1, 41, 43, 2, 5, 7, 4, 19, 23, 27, 31, 11, 39, 6, 8, 7, 45, 37]
[7, 0, 35, 31, 19, 2, 39, 4, 19, 13, 13, 6, 23, 19, 27, 1, 13, 8, 41, 49]
[39, 31, 41, 0, 37, 1, 37, 45, 2, 5, 35, 4, 13, 6, 8, 17, 37, 51, 21, 33]
[1, 35, 0, 37, 2, 45, 5, 49, 43, 25, 23, 9, 45, 4, 51, 6, 8, 31, 47, 23]
[0, 21, 41, 35, 45, 2, 7, 37, 15, 45, 4, 7, 43, 5, 6, 8, 45, 45, 29, 27]
[25, 0, 37, 1, 35, 33, 5, 51, 29, 2, 4, 7, 5, 23, 6, 8, 31, 17, 39, 23]
[0, 43, 2, 51, 25, 15, 43, 25, 31, 7, 4, 23, 39, 39, 47, 1, 6, 11, 8, 29]
[0, 2, 13, 4, 33, 33, 27, 6, 17, 41, 5, 47, 31, 13, 41, 8, 49, 3, 47, 23]
[0, 13, 3, 45, 29, 27, 19, 31, 2, 25, 3, 17, 25, 4, 19, 21, 39, 6, 8, 3]
[35, 3, 15, 0, 35, 2, 37, 27, 4, 47, 6, 39, 41, 39, 27, 45, 39, 21, 8, 27]
[41, 0, 21, 9, 2, 45, 29, 51, 17, 33, 27, 41, 4, 49, 1, 19, 5, 25, 6, 8]
[0, 2, 19, 39, 21, 35, 31, 4, 37, 6, 51, 21, 35, 8, 45, 33, 3, 35, 15, 31]
[41, 0, 47, 29, 2, 29, 15, 47, 4, 23, 6, 5, 8, 47, 31, 41, 13, 25, 45, 25]
[3, 3, 29, 13, 13, 39, 21, 37, 41, 0, 2, 13, 17, 4, 27, 7, 27, 6, 8, 7]
[37, 0, 7, 9, 35, 31, 25, 2, 4, 11, 41, 51, 47, 19, 41, 6, 33, 39, 8, 41]
