RegularPatterns, 50
[1, 11, 29, 11, 7, 31, 13, 1, 37, 0, 5, 2, 3, 13, 15, 49, 5, 43, 35, 4, 6, 5, 8, 37, 9, 35, 10, 43, 13, 13, 7, 49, 17, 12, 41, 41, 15, 5, 14, 47, 3, 16, 41, 17, 17, 51, 33, 18, 7, 11]
[3, 0, 17, 2, 15, 4, 1, 1, 13, 27, 43, 9, 49, 19, 47, 23, 6, 23, 49, 49, 35, 15, 47, 8, 7, 10, 19, 19, 31, 39, 41, 5, 12, 13, 14, 43, 27, 3, 49, 7, 15, 9, 16, 39, 49, 49, 5, 11, 18, 21]
[19, 47, 25, 15, 9, 0, 15, 2, 45, 4, 13, 31, 51, 21, 5, 6, 23, 31, 21, 51, 23, 8, 1, 7, 19, 13, 25, 45, 43, 10, 12, 5, 1, 25, 47, 15, 17, 49, 13, 14, 23, 41, 16, 39, 9, 35, 18, 27, 37, 43]
[1, 9, 0, 33, 49, 49, 39, 1, 9, 2, 41, 4, 21, 3, 13, 51, 35, 15, 9, 11, 11, 6, 1, 8, 7, 7, 10, 7, 12, 17, 41, 41, 51, 13, 47, 25, 14, 51, 16, 47, 31, 37, 1, 23, 45, 49, 35, 9, 18, 33]
[51, 41, 0, 2, 39, 47, 43, 9, 4, 35, 1, 23, 11, 45, 25, 17, 35, 21, 33, 6, 9, 17, 1, 8, 51, 10, 17, 19, 31, 35, 1, 13, 12, 29, 9, 41, 39, 45, 49, 14, 37, 29, 39, 16, 29, 1, 18, 21, 43, 19]
[15, 11, 0, 7, 27, 27, 11, 41, 2, 4, 13, 39, 3, 45, 15, 7, 6, 9, 1, 8, 39, 10, 1, 9, 12, 21, 14, 7, 33, 51, 17, 13, 31, 13, 16, 7, 45, 23, 29, 29, 23, 3, 7, 35, 35, 43, 51, 51, 19, 18]
[29, 37, 39, 33, 29, 0, 9, 2, 4, 5, 23, 6, 27, 45, 1, 19, 27, 23, 21, 33, 8, 49, 33, 45, 3, 25, 35, 17, 33, 23, 51, 51, 25, 11, 10, 13, 5, 25, 15, 12, 35, 14, 33, 19, 19, 47, 16, 51, 25, 18]
[29, 0, 27, 2, 25, 47, 15, 4, 6, 33, 8, 51, 5, 45, 29, 43, 1, 1, 33, 10, 47, 12, 15, 39, 3, 39, 33, 43, 19, 33, 39, 1, 17, 14, 16, 25, 7, 9, 33, 19, 7, 18, 7, 47, 29, 19, 5, 25, 51, 45]
[41, 0, 19, 29, 2, 4, 35, 37, 37, 6, 8, 27, 31, 35, 31, 47, 33, 11, 25, 23, 27, 35, 5, 10, 41, 47, 45, 39, 51, 47, 7, 39, 12, 17, 37, 25, 14, 29, 1, 19, 1, 16, 18, 21, 31, 7, 43, 35, 13, 7]
[0, 45, 13, 11, 5, 23, 7, 2, 43, 39, 4, 27, 43, 27, 39, 45, 49, 31, 7, 11, 41, 33, 51, 39, 11, 6, 39, 49, 11, 51, 33, 25, 5, 41, 8, 43, 7, 15, 10, 12, 49, 29, 14, 39, 15, 31, 16, 35, 21, 18]
[7, 37, 13, 0, 2, 11, 33, 23, 51, 49, 49, 23, 45, 21, 35, 45, 51, 29, 11, 45, 4, 7, 9, 1, 35, 35, 45, 6, 8, 49, 13, 10, 27, 12, 45, 49, 19, 3, 19, 7, 14, 29, 21, 33, 47, 16, 13, 18, 15, 27]
[49, 15, 23, 15, 39, 43, 41, 0, 13, 41, 39, 39, 2, 9, 43, 4, 21, 6, 8, 49, 23, 17, 25, 21, 10, 7, 41, 49, 41, 1, 12, 15, 1, 3, 14, 9, 47, 35, 9, 7, 41, 16, 18, 29, 7, 31, 5, 45, 45, 19]
